state,party,votes,total_votes_counted,votes_pct
ABIA,lp,327095,370037,88.40
ABIA,pdp,22676,370037,6.13
ABIA,others,10113,370037,2.73
ABIA,apc,8914,370037,2.41
ABIA,nnpp,1239,370037,0.33
ADAMAWA,pdp,417611,731140,57.12
ADAMAWA,apc,182881,731140,25.01
ADAMAWA,lp,105648,731140,14.45
ADAMAWA,others,16994,731140,2.32
ADAMAWA,nnpp,8006,731140,1.10
"AKWA IBOM",pdp,214012,555089,38.55
"AKWA IBOM",apc,160620,555089,28.94
"AKWA IBOM",lp,132683,555089,23.90
"AKWA IBOM",others,39978,555089,7.20
"AKWA IBOM",nnpp,7796,555089,1.40
ANAMBRA,lp,584621,613861,95.24
ANAMBRA,others,13126,613861,2.14
ANAMBRA,pdp,9036,613861,1.47
ANAMBRA,apc,5111,613861,0.83
ANAMBRA,nnpp,1967,613861,0.32
BAUCHI,pdp,426607,853516,49.98
BAUCHI,apc,316694,853516,37.10
BAUCHI,nnpp,72103,853516,8.45
BAUCHI,lp,27373,853516,3.21
BAUCHI,others,10739,853516,1.26
BAYELSA,pdp,68818,165325,41.63
BAYELSA,lp,49975,165325,30.23
BAYELSA,apc,42572,165325,25.75
BAYELSA,others,3420,165325,2.07
BAYELSA,nnpp,540,165325,0.33
BENUE,apc,310468,770075,40.32
BENUE,lp,308372,770075,40.04
BENUE,pdp,130081,770075,16.89
BENUE,others,16414,770075,2.13
BENUE,nnpp,4740,770075,0.62
BORNO,apc,252282,465287,54.22
BORNO,pdp,190921,465287,41.03
BORNO,others,10253,465287,2.20
BORNO,lp,7205,465287,1.55
BORNO,nnpp,4626,465287,0.99
"CROSS RIVER",lp,179917,416968,43.15
"CROSS RIVER",apc,130520,416968,31.30
"CROSS RIVER",pdp,95425,416968,22.89
"CROSS RIVER",others,9462,416968,2.27
"CROSS RIVER",nnpp,1644,416968,0.39
DELTA,lp,341866,615341,55.56
DELTA,pdp,161600,615341,26.26
DELTA,apc,90183,615341,14.66
