zx,zy,compatibility,IsCompatible
Cancer,Pisces,0.98,True
Taurus,Gemini,0.33,False
Virgo,Pisces,0.88,True
Pisces,Aries,0.67,True
Cancer,Aquarius,0.27,False
Gemini,Leo,0.88,True
Leo,Taurus,0.73,True
Capricorn,Pisces,0.88,True
Scorpio,Libra,0.35,False
Taurus,Pisces,0.85,True
Libra,Taurus,0.65,True
Taurus,Virgo,0.9,True
Sagittarius,Aries,0.93,True
Cancer,Virgo,0.9,True
Virgo,Virgo,0.65,True
Virgo,Gemini,0.68,True
Cancer,Libra,0.43,False
Sagittarius,Sagittarius,0.45,False
Taurus,Scorpio,0.88,True
Scorpio,Taurus,0.88,True
Gemini,Libra,0.93,True
Taurus,Libra,0.65,True
Aries,Aquarius,0.78,True
Libra,Libra,0.75,True
Sagittarius,Libra,0.73,True
Libra,Virgo,0.68,True
Sagittarius,Aquarius,0.9,True
Scorpio,Aries,0.5,True
Aries,Leo,0.97,True
Cancer,Cancer,0.75,True
Taurus,Sagittarius,0.3,False
Aquarius,Aquarius,0.45,False
Leo,Gemini,0.88,True
Cancer,Scorpio,0.94,True
Pisces,Libra,0.88,True
Aquarius,Aries,0.78,True
Leo,Virgo,0.35,False
Virgo,Aries,0.63,True
Aquarius,Scorpio,0.73,True
Gemini,Virgo,0.68,True
Sagittarius,Virgo,0.48,False
Virgo,Cancer,0.9,True
Capricorn,Sagittarius,0.6,True
Sagittarius,Cancer,0.53,True
Scorpio,Scorpio,0.8,True
Pisces,Sagittarius,0.63,True
Pisces,Taurus,0.85,True
Scorpio,Pisces,0.97,True
Cancer,Aries,0.42,False
Pisces,Pisces,0.6,True
Capricorn,Aries,0.47,False
Pisces,Capricorn,0.88,True
Scorpio,Aquarius,0.73,True
Taurus,Leo,0.73,True
Aries,Libra,0.85,True
Scorpio,Virgo,0.88,True
Libra,Pisces,0.88,True
Aquarius,Taurus,0.58,True
Aquarius,Leo,0.68,True
Cancer,Sagittarius,0.53,True
Gemini,Scorpio,0.28,False
Pisces,Scorpio,0.97,True
Sagittarius,Taurus,0.3,False
Virgo,Aquarius,0.3,False
Aquarius,Gemini,0.85,True
Leo,Libra,0.97,True
Capricorn,Leo,0.35,False
Virgo,Leo,0.35,False
Cancer,Leo,0.35,False
Taurus,Aries,0.38,False
Capricorn,Gemini,0.68,True
Scorpio,Capricorn,0.95,True
Taurus,Capricorn,0.98,True
Gemini,Taurus,0.33,False
Gemini,Gemini,0.6,True
Aries,Taurus,0.38,False
Virgo,Scorpio,0.88,True
Taurus,Cancer,0.97,True
Virgo,Sagittarius,0.48,False
Libra,Scorpio,0.35,False
Gemini,Aries,0.83,True
Libra,Cancer,0.43,False
Gemini,Aquarius,0.85,True
Leo,Sagittarius,0.93,True
Libra,Aquarius,0.9,True
Capricorn,Cancer,0.83,True
Aries,Gemini,0.83,True
Libra,Gemini,0.93,True
Aquarius,Virgo,0.3,False
Virgo,Libra,0.69,True
Libra,Aries,0.85,True
Scorpio,Sagittarius,0.28,False
Gemini,Capricorn,0.69,True
Pisces,Cancer,0.98,True
Leo,Leo,0.45,False
Aries,Sagittarius,0.93,True
Leo,Cancer,0.35,False
Leo,Pisces,0.38,False
Aquarius,Cancer,0.27,False
Capricorn,Capricorn,0.75,True
Pisces,Virgo,0.88,True
Aries,Capricorn,0.47,False
Leo,Scorpio,0.58,True
Scorpio,Leo,0.58,True
Sagittarius,Scorpio,0.28,False
Aries,Virgo,0.63,True
Virgo,Taurus,0.9,True
Capricorn,Scorpio,0.95,True
Sagittarius,Capricorn,0.6,True
Aquarius,Capricorn,0.69,True
Taurus,Taurus,0.58,True
Aquarius,Sagittarius,0.9,True
Libra,Sagittarius,0.73,True
Sagittarius,Gemini,0.6,True
Capricorn,Aquarius,0.69,True
Libra,Leo,0.97,True
Capricorn,Virgo,0.95,True
Pisces,Gemini,0.53,True
Pisces,Aquarius,0.45,False
Pisces,Leo,0.38,False
Sagittarius,Leo,0.93,True
Aries,Cancer,0.42,False
Capricorn,Taurus,0.98,True
Gemini,Pisces,0.53,True
Leo,Aries,0.97,True
Leo,Aquarius,0.69,True
Scorpio,Gemini,0.28,False
Cancer,Taurus,0.97,True
Sagittarius,Pisces,0.63,True
Aries,Pisces,0.67,True
Aquarius,Pisces,0.45,False
Aries,Scorpio,0.5,True
Taurus,Aquarius,0.58,True
Aries,Aries,0.5,True
Scorpio,Cancer,0.94,True
Aquarius,Libra,0.9,True
Gemini,Sagittarius,0.6,True
Gemini,Cancer,0.65,True
Cancer,Gemini,0.65,True
Cancer,Capricorn,0.83,True
Libra,Capricorn,0.55,True
Leo,Capricorn,0.35,False
Virgo,Capricorn,0.95,True
Capricorn,Libra,0.55,True
